物料号(母件),产品名称,组件号(子件),材料名称,产线,材料用量,废料系数
10000001,仪表板总成,10000002,仪表板骨架,A1,1.0,0.0
10000002,仪表板骨架,10000003,PP+EPDM-TD20粒子,A1,35.58,0.01
10000002,仪表板骨架,10000004,ABS树脂,A1,21.0,0.02
10000002,仪表板骨架,10000005,PC/ABS合金料,A1,39.46,0.04
10000002,仪表板骨架,10000006,滑石粉填充PP,A1,45.69,0.01
10000002,仪表板骨架,10000007,仪表板蒙皮总成,A1,1.0,0.0
10000007,仪表板蒙皮总成,10000008,热熔胶膜,A1,26.88,0.01
10000007,仪表板蒙皮总成,10000009,无纺布,A1,18.75,0.03
10000007,仪表板蒙皮总成,10000010,双面胶带,A1,11.06,0.02
10000007,仪表板蒙皮总成,10000011,仪表板总成(半),A1,1.0,0.0
10000011,仪表板总成(半),10000012,自攻螺钉,A1,36.0,0.03
10000011,仪表板总成(半),10000013,卡扣,A1,18.82,0.03
10000011,仪表板总成(半),10000014,弹簧夹,A1,42.38,0.01
10000011,仪表板总成(半),10000001,仪表板总成,A1,1.0,0.0
10000015,门内护板总成,10000016,门内板基体,A2,1.0,0.0
10000016,门内板基体,10000017,TPO表皮材料,A2,42.23,0.04
10000016,门内板基体,10000018,PVC搪塑粉料,A2,23.61,0.02
10000016,门内板基体,10000019,PP蜂窝板,A2,48.29,0.02
10000016,门内板基体,10000020,玻纤增强PP,A2,13.71,0.01
10000016,门内板基体,10000021,门内板蒙皮总成,A2,1.0,0.0
10000021,门内板蒙皮总成,10000022,EPDM密封条,A2,43.9,0.03
10000021,门内板蒙皮总成,10000023,铝箔隔热层,A2,42.29,0.04
10000021,门内板蒙皮总成,10000024,吸音棉,A2,31.45,0.05
10000021,门内板蒙皮总成,10000025,门内板总成(半),A2,1.0,0.0
10000025,门内板总成(半),10000026,金属嵌件,A2,25.14,0.03
10000025,门内板总成(半),10000027,植绒面料,A2,43.18,0.03
10000025,门内板总成(半),10000028,针织面料,A2,44.47,0.03
10000025,门内板总成(半),10000015,门内护板总成,A2,1.0,0.0
10000029,空调出风口总成,10000030,出风口壳体,A3,1.0,0.0
10000030,出风口壳体,10000031,PA66+GF30粒子,A3,38.18,0.01
10000030,出风口壳体,10000032,POM聚甲醛,A3,19.12,0.02
10000030,出风口壳体,10000033,PP+EPDM-TD20粒子,A3,13.19,0.02
10000030,出风口壳体,10000034,ABS树脂,A3,14.04,0.02
10000030,出风口壳体,10000035,出风口功能组件,A3,1.0,0.0
10000035,出风口功能组件,10000036,PE发泡垫块,A3,35.43,0.02
10000035,出风口功能组件,10000037,热熔胶膜,A3,24.81,0.02
10000035,出风口功能组件,10000038,无纺布,A3,20.68,0.05
10000035,出风口功能组件,10000039,出风口总成(半),A3,1.0,0.0
10000039,出风口总成(半),10000040,编织地毯面料,A3,35.92,0.03
10000039,出风口总成(半),10000041,自攻螺钉,A3,16.85,0.04
10000039,出风口总成(半),10000042,卡扣,A3,16.54,0.03
10000039,出风口总成(半),10000029,空调出风口总成,A3,1.0,0.0
10000043,中控台总成,10000044,中控台骨架,A1,1.0,0.0
10000044,中控台骨架,10000045,PC/ABS合金料,A1,49.58,0.04
10000044,中控台骨架,10000046,滑石粉填充PP,A1,32.28,0.04
10000044,中控台骨架,10000047,TPO表皮材料,A1,43.71,0.04
10000044,中控台骨架,10000048,PVC搪塑粉料,A1,19.16,0.01
10000044,中控台骨架,10000049,中控台蒙皮总成,A1,1.0,0.0
